ds,y
2023-07-22,18950.88
2023-07-23,4333.606
2023-07-24,15974.36
2023-07-25,5683.305
2023-07-26,7935.131
2023-07-27,12435.69
2023-07-28,0.0
2023-07-29,29161.8
2023-07-30,8906.248
2023-07-31,14021.45
