TransactionDate,GroupCostPrice,GroupQuantity
07/17/18,110922.4,45.75
07/18/18,69226.7,28.54
07/19/18,144233.3,59.46
07/20/18,0,0
07/21/18,91225.11,37.51
07/22/18,93336.87,38.52
07/23/18,115852.6,48.01
07/24/18,106641.5,44.08
07/25/18,78586.4,32.51
07/26/18,77754.32,32.17
07/27/18,0,0
07/28/18,165484.7,68.37
07/29/18,180452.6,74.39
07/30/18,143165.2,59.17
07/31/18,65064.45,26.93
08/01/18,103735.8,43.02
08/02/18,140116.6,57.87
08/03/18,0,0
08/04/18,194919.9,80.8
08/05/18,144923.5,60.27
08/06/18,143384.7,59.51
08/07/18,134711,56.1
08/08/18,132536.3,55.02
08/09/18,231418.7,96.1
08/10/18,0,0
08/11/18,133666.3,55.53
08/12/18,127225.2,52.89
08/13/18,106524.2,44.2
08/14/18,97865.97,40.72
08/15/18,79184.57,32.96
08/16/18,144411.2,60
08/17/18,0,0
08/18/18,142105.2,59.23
08/19/18,64351.86,26.78
08/20/18,0,0
08/21/18,0,0
08/22/18,0,0
08/23/18,0,0
08/24/18,0,0
08/25/18,149432.5,62.17
08/26/18,165665.8,68.89
08/27/18,112095,46.66
08/28/18,114782.5,47.76
08/29/18,101068.8,42.12
08/30/18,103220.5,43.01
08/31/18,0,0
09/01/18,170728.4,71.01
09/02/18,131482.3,54.86
09/03/18,107717.9,44.92
09/04/18,124394.5,52.04
09/05/18,82821.33,34.68
09/06/18,106246.2,44.35
09/07/18,0,0
09/08/18,127658.9,53.47
09/09/18,125323.2,52.52
09/10/18,88938.61,37.28
09/11/18,145771.8,61.02
09/12/18,58249.51,24.43
09/13/18,68577.66,28.84
09/14/18,0,0
09/15/18,126563.4,53.02
09/16/18,118380.4,49.58
09/17/18,86591.92,36.18
09/18/18,154964.6,65.61
09/19/18,125848.7,53.2
09/20/18,143207.8,60.51
09/21/18,0,0
09/22/18,132059.3,55.62
09/23/18,0,0
09/24/18,230495.1,97.41
09/25/18,87519.78,37.02
09/26/18,107225.3,45.38
09/27/18,100723.8,42.8
09/28/18,0,0
09/29/18,123003.7,52.17
09/30/18,49712.17,21.1
10/01/18,85891.03,36.33
10/02/18,115634.5,48.84
10/03/18,98161.48,41.53
10/04/18,78329.72,33.4
10/05/18,0,0
10/06/18,180795.5,77.09
10/07/18,88614.67,37.7
10/08/18,164816.7,70.24
10/09/18,132342.2,56.2
10/10/18,139371.6,59.47
10/11/18,146441.2,63.23
10/12/18,0,0
10/13/18,213643.9,92.79
10/14/18,100379.5,43.78
10/15/18,106590.3,46.52
10/16/18,177333.8,77.59
10/17/18,81873.54,35.95
10/18/18,125035.9,54.75
10/19/18,0,0
10/20/18,147318.9,65.42
10/21/18,170793,76.45
10/22/18,76440.75,34.19
10/23/18,135839.3,60.46
10/24/18,131267.7,58.88
10/25/18,72783.22,32.73
10/26/18,0,0
10/27/18,126228.9,56.59
10/28/18,155412.5,69.73
10/29/18,76967.3,34.46
10/30/18,94784.24,42.59
10/31/18,185004.1,83.45
11/01/18,108584.9,48.96
11/02/18,0,0
11/03/18,202376.5,91.2
11/04/18,96355.86,43.38
11/05/18,140744.8,63.49
11/06/18,162690.4,73.36
11/07/18,120397.9,54.31
11/08/18,105543.5,47.63
11/09/18,0,0
11/10/18,126320.4,56.9
11/11/18,139449.1,63.09
11/12/18,127051.7,57.55
11/13/18,96259.54,43.61
11/14/18,155922.2,70.79
11/15/18,93314.92,43.26
11/16/18,0,0
11/17/18,157593.9,73.27
11/18/18,162633.1,75.89
11/19/18,151906,70.42
11/20/18,139619.9,65.22
11/21/18,105499.1,49.2
11/22/18,136422.9,63.91
11/23/18,0,0
11/24/18,112498.2,52.88
11/25/18,167838,78.7
11/26/18,142018.2,66.87
11/27/18,126068.2,59.43
11/28/18,136813.8,64.57
11/29/18,124509.3,58.75
11/30/18,0,0
12/01/18,130878.3,61.93
12/02/18,159533.3,75.32
12/03/18,133129.3,63.09
12/04/18,112274.9,53.09
12/05/18,57959.01,27.51
12/06/18,87040.37,41.29
12/07/18,0,0
12/08/18,202937.1,96.4
12/09/18,126855.8,60.61
12/10/18,114472.5,54.59
12/11/18,142316.1,67.86
12/12/18,125896.1,60.18
12/13/18,118442.4,56.62
12/14/18,0,0
12/15/18,88212.21,41.41
12/16/18,121950.9,58.24
12/17/18,100887.5,48.18
12/18/18,126713.6,60.11
12/19/18,146359.2,69.83
12/20/18,111696.7,53.66
12/21/18,0,0
12/22/18,92525.03,43.97
12/23/18,154369.4,73.92
